% hPa 		  ugrd (m/s) 		  vgrd (m/s) 		  temp (K) 		  rh 		  hgt (m)
    1000            -1.70534         2.95778        279.91           75.5           273.035
    975             -1.34623         2.92033        280.213          64.3           481.136
    950             -1.03543         3.18525        280.453          49.0           694.786
    925             -0.695925        3.74934        280.828          32.7           914.193
    900             -0.496196        4.28214        281.285          19.2          1139.88
    850             -0.664839        4.7181         280.802          10.3          1610.67
    800             -0.784985        4.85325        278.738          15.6          2107.58
    750             -0.965337        5.50788        275.848          16.3          2631.78
    700             -2.48729         7.84314        272.679          10.2          3186.0
    650             -3.98039         9.40307        268.274          16.4          3772.98
    600             -3.74663        11.1155         263.643          32.0          4396.4
    550             -2.04294        12.7146         258.882          33.9          5062.03
    500             -1.45375        13.016          253.36           30.4          5776.91
    450             -2.54949        14.3087         246.935          36.8          6548.63
    400              0.239114       14.8557         241.108          21.8          7389.79
    350             -1.08747        15.6725         233.124          30.8          8317.19
    300              0.294458       17.9479         224.597          30.8          9348.14
    250              0.782947       19.3619         216.053          33.0         10524.2
    200              1.75176        26.1769         207.101          28.0         11904.7
    150              3.03331         7.8329         208.686          14.7         13643.2
    100             -2.0269          2.34582        278.739           6.2         16132.2
    70              12.2579         -6.49117        202.503           8.7         18264.4
    50              -1.95773         2.07034        199.795           9.1         20247.6
    30              -1.91217         1.97267        194.923          12.7         23190.8
    20              -1.86545         1.89407        195.922           8.0         25506.1
    10              -1.83168         1.82776        205.32            1.2         29574.9 % Da qui in su profilo Meteo Expert 03 UTC
    11.97            0.000           0.000          226.5             0.000       30000.0
     8.890           0.000           0.000          228.5             0.0         32000.0
     6.634           0.000           0.000          233.7             0.0         34000.0
     4.985           0.000           0.000          239.3             0.0         36000.0
     3.771           0.000           0.000          244.8             0.0         38000.0
     2.871           0.000           0.000          250.4             0.0         40000.0
     2.200           0.000           0.000          255.9             0.0         42000.0
     1.695           0.000           0.000          261.4             0.0         44000.0
     1.313           0.000           0.000          266.9             0.0         46000.0
     1.023           0.000           0.000          270.6             0.0         48000.0
     0.797           0.000           0.000          270.6             0.0         50000.0
     0.622           0.000           0.000          269.0             0.0         52000.0
     0.483           0.000           0.000          263.5             0.0         54000.0
     0.373           0.000           0.000          258.0             0.0         56000.0
     0.287           0.000           0.000          252.5             0.0         58000.0
     0.219           0.000           0.000          247.0             0.0         60000.0
     0.166           0.000           0.000          241.5             0.0         62000.0
     0.126           0.000           0.000          236.0             0.0         64000.0
     0.0945          0.000           0.000          230.5             0.0         66000.0
     0.0705          0.000           0.000          225.1             0.0         68000.0
     0.0522          0.000           0.000          219.6             0.0         70000.0
     0.0383          0.000           0.000          214.3             0.0         72000.0
     0.0280          0.000           0.000          210.3             0.0         74000.0
     0.0203          0.000           0.000          206.4             0.0         76000.0
     0.0146          0.000           0.000          202.5             0.0         78000.0
     0.0105          0.000           0.000          198.6             0.0         80000.0
     0.00749         0.000           0.000          194.7             0.0         82000.0
     0.00530         0.000           0.000          190.8             0.0         84000.0
     0.00373         0.000           0.000          186.9             0.0         86000.0
     0.00273         0.000           0.000          186.9             0.0         96000.0 % Da qui in poi copiata la riga a 86 km
     0.00173         0.000           0.000          186.9             0.0        100000.0
     0.00173         0.000           0.000          186.9             0.0        110000.0
