% Atmospheric profile MeteoExpert 20240121, 00 UT for the point Lat. 52° 37' 59.16" N, Long. 12° 38' 16.44" E
%level(hPa)  ugrd(m/s)    vgrd(m/s)    tmp(K)    rh(%)    hgt(m)
1000.0        6.20611      4.92212      272.904   50.2     224.698
 975.0        8.93194      3.13468      274.194   29.5     427.784
 950.0       10.5444       1.45176      274.097   19.3     636.38
 925.0       11.0698       0.287476     273.565   12.9     850.259
 900.0       11.0796      -0.41332      272.519   10.0    1069.32
 850.0       10.8108      -0.905054     269.615    6.7    1522.99
 800.0       11.0958      -0.382886     266.591    6.6    1998.67
 750.0       11.5421      -0.796772     264.666   10.0    2500.37
 700.0       10.7835      -1.65753      262.439    8.7    3032.84
 650.0        9.73822     -2.41903      259.142   62.8    3598.62
 600.0        8.5143      -1.96012      257.63    68.0    4204.74
 550.0        9.54964     -2.13538      253.603   66.2    4856.56
 500.0       10.694       -2.06165      248.213   74.1    5556.84
 450.0       13.358       -5.68853      242.091   99.2    6312.98
 400.0       16.7426      -8.1975       235.686   84.8    7136.25
 350.0       18.7634     -10.9475       228.865   74.0    8044.53
 300.0       20.1297     -15.0907       221.888   63.7    9062.64
 250.0       20.1136     -14.4332      212.613    72.3   10221.2
 200.0       21.2646     -12.834       208.379    60.2   11589.6
 150.0       28.456       -9.32057     214.725     4.9   13374.9
 100.0       33.1405      -6.41077     216.078     1.9   15941.9
  70.0       36.1971      -4.34582     221.606     0.6   18221.2
  50.0       37.2851       2.7395      224.505     0.3   20424.9
  30.0       39.584        2.90955     221.488     0.1   23761.1
  20.0       42.2074      12.3201      220.996     0.2   26388.1
  10.0        0.703628     2.88865     210.61      0.4   30793.2
   8.890      0.000        0.000       228.5       0.0   32000.0
   6.634      0.000        0.000       233.7       0.0   34000.0
   4.985      0.000        0.000       239.3       0.0   36000.0
   3.771      0.000        0.000       244.8       0.0   38000.0
   2.871      0.000        0.000       250.4       0.0   40000.0
   2.200      0.000        0.000       255.9       0.0   42000.0
   1.695      0.000        0.000       261.4       0.0   44000.0
   1.313      0.000        0.000       266.9       0.0   46000.0
   1.023      0.000        0.000       270.6       0.0   48000.0
   0.797      0.000        0.000       270.6       0.0   50000.0
   0.622      0.000        0.000       269.0       0.0   52000.0
   0.483      0.000        0.000       263.5       0.0   54000.0
   0.373      0.000        0.000       258.0       0.0   56000.0
   0.287      0.000        0.000       252.5       0.0   58000.0
   0.219      0.000        0.000       247.0       0.0   60000.0
   0.166      0.000        0.000       241.5       0.0   62000.0
   0.126      0.000        0.000       236.0       0.0   64000.0
   0.0945     0.000        0.000       230.5       0.0   66000.0
   0.0705     0.000        0.000       225.1       0.0   68000.0
   0.0522     0.000        0.000       219.6       0.0   70000.0
   0.0383     0.000        0.000       214.3       0.0   72000.0
   0.0280     0.000        0.000       210.3       0.0   74000.0
   0.0203     0.000        0.000       206.4       0.0   76000.0
   0.0146     0.000        0.000       202.5       0.0   78000.0
   0.0105     0.000        0.000       198.6       0.0   80000.0
   0.00749    0.000        0.000       194.7       0.0   82000.0
   0.00530    0.000        0.000       190.8       0.0   84000.0
   0.00373    0.000        0.000       186.9       0.0   86000.0
   0.00273    0.000        0.000       186.9       0.0   96000.0 % Da qui in poi copiata la riga a 86 km
   0.00173    0.000        0.000       186.9       0.0  100000.0
   0.00173    0.000        0.000       186.9       0.0  110000.0
