% hPa 		  ugrd (m/s) 		  vgrd (m/s) 		  temp (K) 		  rh 		  hgt (m)
  1000.0            -5.31668         4.41769        280.31            77.8         279.229
   975.0            -4.82199         4.68229        279.868           73.7         487.405
   950.0            -3.89722         4.50467        279.68            57.4         700.648
   925.0            -2.84106         4.05077        280.375           30.5         919.541
   900.0            -1.70489         3.33729        281.397           10.8         1145.03
   850.0            -0.713867        2.98565        281.227            1.6         1616.18
   800.0            -0.631885        4.09089        279.492            5.1         2113.92
   750.0            -1.19772         4.73883        276.636           13.4         2639.55
   700.0            -2.36854         6.40183        273.449            8.8         3195.19
   650.0            -3.81736         8.35208        268.925           17.1         3783.95
   600.0            -4.30566         9.71937        263.629           34.3         4407.97
   550.0            -4.90017        11.5041         258.613           37.8         5073.28
   500.0            -4.50304        12.3866         253.891           27.4         5788.38
   450.0            -4.51556        11.0001         247.635           25.7         6561.79
   400.0            -3.89204        11.4839         240.971           23.0         7404.03
   350.0            -2.31849        14.9735         233.83            25.6         8332.97
   300.0            -2.10606        15.4727         224.56            42.5         9367.1
   250.0             0.0313904      21.0158         216.347           32.3        10542.6
   200.0            -3.0038         24.0944         207.116           39.8        11922.7
   150.0             4.98394         7.86993        209.525           12.8        13658.7
   100.0            -4.30564         3.03527        279.625           6.6         16142.0
    70.0            10.6985         -6.84721        202.461           8.8         18280.9
    50.0            -3.57033         2.33658        199.238           10          20256.3
    30.0            -3.31717         2.12562        194.676           14.1        23202.5
    20.0            -3.16962         2.01779        195.384           8.6         25508.4
    10.0            -3.02956         1.88287        203.465           1.6         29552.1 % Da qui in su profilo Meteo Expert
    11.97            0.000           0.000          226.5             0.000       30000.0
     8.890           0.000           0.000          228.5             0.0         32000.0
     6.634           0.000           0.000          233.7             0.0         34000.0
     4.985           0.000           0.000          239.3             0.0         36000.0
     3.771           0.000           0.000          244.8             0.0         38000.0
     2.871           0.000           0.000          250.4             0.0         40000.0
     2.200           0.000           0.000          255.9             0.0         42000.0
     1.695           0.000           0.000          261.4             0.0         44000.0
     1.313           0.000           0.000          266.9             0.0         46000.0
     1.023           0.000           0.000          270.6             0.0         48000.0
     0.797           0.000           0.000          270.6             0.0         50000.0
     0.622           0.000           0.000          269.0             0.0         52000.0
     0.483           0.000           0.000          263.5             0.0         54000.0
     0.373           0.000           0.000          258.0             0.0         56000.0
     0.287           0.000           0.000          252.5             0.0         58000.0
     0.219           0.000           0.000          247.0             0.0         60000.0
     0.166           0.000           0.000          241.5             0.0         62000.0
     0.126           0.000           0.000          236.0             0.0         64000.0
     0.0945          0.000           0.000          230.5             0.0         66000.0
     0.0705          0.000           0.000          225.1             0.0         68000.0
     0.0522          0.000           0.000          219.6             0.0         70000.0
     0.0383          0.000           0.000          214.3             0.0         72000.0
     0.0280          0.000           0.000          210.3             0.0         74000.0
     0.0203          0.000           0.000          206.4             0.0         76000.0
     0.0146          0.000           0.000          202.5             0.0         78000.0
     0.0105          0.000           0.000          198.6             0.0         80000.0
     0.00749         0.000           0.000          194.7             0.0         82000.0
     0.00530         0.000           0.000          190.8             0.0         84000.0
     0.00373         0.000           0.000          186.9             0.0         86000.0
     0.00273         0.000           0.000          186.9             0.0         96000.0 % Da qui in poi copiata la riga a 86 km
     0.00173         0.000           0.000          186.9             0.0        100000.0
     0.00173         0.000           0.000          186.9             0.0        110000.0
